代码,股票名称,当前价,涨跌幅,信号强度,操作建议
002088,鲁阳节能,13.09,-1.21,中等（试错观察）,轻仓介入，等待破位拉起
600732,爱旭股份,14.23,-1.79,中等（试错观察）,轻仓介入，等待破位拉起
600678,四川金顶,13.2,10.0,中等（试错观察）,轻仓介入，等待破位拉起
002471,中超控股,8.3,0.12,中等（试错观察）,轻仓介入，等待破位拉起
000987,越秀资本,10.5,0.96,中等（试错观察）,轻仓介入，等待破位拉起
002181,粤 传 媒,11.81,9.96,中等（试错观察）,轻仓介入，等待破位拉起
002728,特一药业,12.36,-4.56,中等（试错观察）,轻仓介入，等待破位拉起
002809,红墙股份,14.26,6.1,中等（试错观察）,轻仓介入，等待破位拉起
600197,伊力特,14.77,9.98,中等（试错观察）,轻仓介入，等待破位拉起
600059,古越龙山,10.89,10.0,中等（试错观察）,轻仓介入，等待破位拉起
002492,恒基达鑫,9.13,2.82,中等（试错观察）,轻仓介入，等待破位拉起
603601,再升科技,11.9,1.1,中等（试错观察）,轻仓介入，等待破位拉起
601226,华电科工,10.49,-3.94,中等（试错观察）,轻仓介入，等待破位拉起
600302,标准股份,13.3,0.68,中等（试错观察）,轻仓介入，等待破位拉起
002637,赞宇科技,14.59,-0.61,中等（试错观察）,轻仓介入，等待破位拉起
600774,汉商集团,10.89,1.59,中等（试错观察）,轻仓介入，等待破位拉起
603001,奥康国际,10.44,10.01,中等（试错观察）,轻仓介入，等待破位拉起
600841,动力新科,8.94,-0.78,中等（试错观察）,轻仓介入，等待破位拉起
600916,中国黄金,12.27,10.04,极强（一击必中）,重点关注，分批建仓
002144,宏达高科,15.0,2.81,中等（试错观察）,轻仓介入，等待破位拉起
601163,三角轮胎,15.51,-1.34,极强（一击必中）,重点关注，分批建仓
000815,美利云,13.78,-3.5,中等（试错观察）,轻仓介入，等待破位拉起
000995,皇台酒业,14.48,10.03,中等（试错观察）,轻仓介入，等待破位拉起
601117,中国化学,9.0,-0.33,中等（试错观察）,轻仓介入，等待破位拉起
600722,金牛化工,8.61,9.96,中等（试错观察）,轻仓介入，等待破位拉起
002207,准油股份,11.18,10.04,中等（试错观察）,轻仓介入，等待破位拉起
603056,德邦股份,18.85,0.0,极强（一击必中）,重点关注，分批建仓
600986,浙文互联,13.78,9.98,中等（试错观察）,轻仓介入，等待破位拉起
002539,云图控股,14.79,-3.14,中等（试错观察）,轻仓介入，等待破位拉起
002446,盛路通信,12.0,-2.44,中等（试错观察）,轻仓介入，等待破位拉起
603616,韩建河山,6.23,0.0,极强（一击必中）,重点关注，分批建仓
002646,天佑德酒,9.81,9.98,中等（试错观察）,轻仓介入，等待破位拉起
002342,巨力索具,14.14,-2.68,中等（试错观察）,轻仓介入，等待破位拉起
002201,九鼎新材,14.6,-6.59,中等（试错观察）,轻仓介入，等待破位拉起
600610,中毅达,12.4,5.44,中等（试错观察）,轻仓介入，等待破位拉起
002319,乐通股份,14.69,-2.39,中等（试错观察）,轻仓介入，等待破位拉起
000565,渝三峡Ａ,8.21,-2.15,中等（试错观察）,轻仓介入，等待破位拉起
600199,金种子酒,10.3,10.04,中等（试错观察）,轻仓介入，等待破位拉起
002279,久其软件,10.65,3.1,中等（试错观察）,轻仓介入，等待破位拉起
002054,德美化工,9.28,0.32,中等（试错观察）,轻仓介入，等待破位拉起
002440,闰土股份,11.83,10.05,中等（试错观察）,轻仓介入，等待破位拉起
603488,展鹏科技,11.15,5.89,中等（试错观察）,轻仓介入，等待破位拉起
600173,卧龙新能,9.04,6.1,中等（试错观察）,轻仓介入，等待破位拉起
600382,广东明珠,9.53,2.69,中等（试错观察）,轻仓介入，等待破位拉起
002799,环球印务,9.32,0.76,中等（试错观察）,轻仓介入，等待破位拉起
002828,贝肯能源,14.54,9.82,中等（试错观察）,轻仓介入，等待破位拉起
